id,two_dish_rice_id,foodie_name_id,restaurant_name,foodie_name,list_date,edit_date,comment,comment_photo1,comment_photo2,comment_photo3,comment_photo4,comment_photo5,comment_photo6,is_published,restaurant_rating,comment_rating
1,3,0,fiveguy,guest,2025/6/5 09:07,2025/6/2,抵食,,,,,,,TRUE,2,
2,1,0,greenthai,guest,2025/6/5 09:07,2025/6/10,抵食,,,,,,,TRUE,1,
3,1,0,greenthai,guest,2025/6/3 09:07,2025/6/3,唔推介,,,,,,,TRUE,3,
4,19,0,南記,guest,2025/5/31 09:07,2025/6/17,not bad,,,,,,,TRUE,5,
5,9,0,DayDayeat,guest,2025/6/9 09:07,2025/6/6,唔推介,,,,,,,TRUE,4,
6,7,0,大家樂,guest,2025/6/6 09:07,2025/6/9,唔推介,,,,,,,TRUE,5,
7,12,0,UCC,guest,2025/6/12 09:07,2025/6/9,幾好味,,,,,,,TRUE,2,
8,9,0,DayDayeat,guest,2025/6/11 09:07,2025/6/1,無驚喜,,,,,,,TRUE,2,
9,19,0,南記,guest,2025/5/30 09:07,2025/6/17,值得再食,,,,,,,TRUE,3,
10,10,0,Comebuy,guest,2025/6/4 09:07,2025/6/1,very good,,,,,,,TRUE,1,
11,17,0,FishmanFriend,guest,2025/6/12 09:07,2025/6/19,抵食,,,,,,,TRUE,5,
12,12,0,UCC,guest,2025/6/8 09:07,2025/6/12,普通,,,,,,,TRUE,2,
13,1,0,greenthai,guest,2025/6/15 09:07,2025/6/2,唔推介,,,,,,,TRUE,4,
14,15,0,食神,guest,2025/6/10 09:07,2025/6/3,服務好,,,,,,,TRUE,2,
15,15,0,食神,guest,2025/6/10 09:07,2025/6/18,無驚喜,,,,,,,TRUE,1,
16,12,0,UCC,guest,2025/6/7 09:07,2025/6/6,無驚喜,,,,,,,TRUE,3,
17,16,0,大伙頭,guest,2025/6/17 09:07,2025/6/14,very good,,,,,,,TRUE,5,
18,11,0,TongKee,guest,2025/6/2 09:07,2025/6/11,值得再食,,,,,,,TRUE,5,
19,19,0,南記,guest,2025/6/7 09:07,2025/6/8,無驚喜,,,,,,,TRUE,5,
20,13,0,Dydo,guest,2025/6/9 09:07,2025/6/18,抵食,,,,,,,TRUE,5,
