id,rater_id,rater_name,rating,created_date,comment_id
1,0,guest,5,2025/6/5 09:07,4
2,0,guest,4,2025/6/12 09:07,11
3,0,guest,5,2025/6/12 09:07,9
4,0,guest,5,2025/6/13 09:07,2
5,0,guest,5,2025/6/17 09:07,5
6,0,guest,2,2025/6/15 09:07,5
7,0,guest,2,2025/6/14 09:07,13
8,0,guest,4,2025/6/6 09:07,14
9,0,guest,3,2025/6/7 09:07,10
10,0,guest,3,2025/6/18 09:07,19
11,0,guest,3,2025/6/7 09:07,3
12,0,guest,3,2025/6/6 09:07,8
13,0,guest,3,2025/6/19 09:07,1
14,0,guest,5,2025/6/11 09:07,9
15,0,guest,2,2025/6/19 09:07,4
16,0,guest,2,2025/6/18 09:07,13
17,0,guest,4,2025/6/9 09:07,1
18,0,guest,3,2025/6/10 09:07,19
19,0,guest,2,2025/6/11 09:07,11
20,0,guest,2,2025/5/30 09:07,9
